Fund name;TER p.a.;YTD in % Fund size(in m eur);Inception;date;Distribution;Replication;ISIN;WKN
Amundi MSCI World UCITS ETF - EUR (D) savings plan;0.38%;0.00%;309;15.03.24;Distributing;Swap basedUnfunded;LU2655993207;ETF092
iShares Core MSCI Europe UCITS ETF EUR (Acc) savings plan;0.12%;0.00%;220;20.03.24;Accumulating;Optimizedsampling;IE000MAO75G5;A406QE
Amundi Pan Africa UCITS ETF Acc savings plan;0.85%;3.96%;31;12.09.08;Accumulating;Swap basedUnfunded;LU1287022708;LYX0V7
Xtrackers MSCI EFM Africa Top 50 Capped Swap UCITS ETF 1C savings plan;0.65%;7.04%;28;09.05.11;Accumulating;Swap basedUnfunded;LU0592217524;DBX0HX
Amundi MSCI AC Asia Ex Japan UCITS ETF Acc savings plan;0.50%;0.36%;218;03.10.08;Accumulating;Swap basedUnfunded;LU1900068161;LYX014
Amundi MSCI AC Asia Pacific Ex Japan UCITS ETF Acc savings plan;0.60%;0.63%;386;26.04.06;Accumulating;Swap basedUnfunded;LU1900068328;LYX015
Amundi MSCI EM Asia ESG CTB Net Zero Ambition UCITS ETF Acc savings plan;0.25%;0.90%;188;18.11.24;Accumulating;Full replication;LU1781541849;LYX0YF
Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C) savings plan;0.20%;1.38%;789;28.04.11;Accumulating;Swap basedUnfunded;LU1681044480;A2H58R
Amundi MSCI Emerging Markets Asia UCITS ETF USD savings plan;0.20%;0.99%;581;11.05.11;Accumulating;Swap basedUnfunded;LU1681044563;A2H58S
Amundi MSCI Pacific Ex Japan UCITS ETF Dist savings plan;0.12%;0.86%;14;29.04.15;Distributing;Swap basedUnfunded;LU1220245556;LYX0TS
Franklin FTSE Asia ex China ex Japan UCITS ETF savings plan;0.14%;1.58%;29;27.09.18;Accumulating;Full replication;IE00BFWXDV39;A2JKUU
HSBC MSCI AC Far East ex Japan UCITS ETF USD savings plan;0.45%;0.02%;116;27.09.13;Accumulating;Optimizedsampling;IE00BBQ2W338;A1W2EL
HSBC MSCI AC Far East ex Japan UCITS ETF USD (Dist);0.45%;0.44%;11;12.07.22;Distributing;Optimizedsampling;IE00022VXYM7;A3DN5A
HSBC MSCI Pacific ex Japan UCITS ETF USD savings plan;0.15%;1.59%;550;03.09.10;Distributing;Full replication;IE00B5SG8Z57;A1C22H
HSBC MSCI Pacific ex Japan UCITS ETF USD (Acc);0.15%;1.91%;77;19.07.22;Accumulating;Full replication;IE000SGVQIZ9;A3DQXB
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc) savings plan;0.20%;1.61%;2,647;12.01.10;Accumulating;Full replication;IE00B52MJY50;A0YEDR
iShares MSCI AC Far East ex-Japan UCITS ETF savings plan;0.74%;0.14%;716;28.10.05;Distributing;Full replication;IE00B0M63730;A0HGV9
iShares MSCI AC Far East ex-Japan UCITS ETF USD (Acc) savings plan;0.74%;0.00%;33;01.04.20;Accumulating;Full replication;IE00BKPX3K41;A2P1KV
iShares MSCI EM Asia UCITS ETF (Acc) savings plan;0.20%;-0.26%;2,960;06.08.10;Accumulating;Full replication;IE00B5L8K969;A1C1H5
iShares MSCI Pacific ex-Japan UCITS ETF (Dist) savings plan;0.60%;1.37%;193;17.04.09;Distributing;Full replication;IE00B4WXJD03;A0RL8Z
SPDR MSCI EM Asia UCITS ETF savings plan;0.55%;-0.62%;840;13.05.11;Accumulating;Full replication;IE00B466KX20;A1JJTG
UBS ETF (IE) MSCI AC Asia Ex Japan SF UCITS ETF (USD) A-acc savings plan;0.23%;0.64%;255;20.08.12;Accumulating;Swap based;IE00B7WK2W23;A1JZY0
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-acc;0.14%;0.00%;17;29.11.19;Accumulating;Full replication;LU0940748279;A1W3LC
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis savings plan;0.14%;1.55%;61;02.10.09;Distributing;Full replication;LU0446734526;A0X97T
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF (USD) Accumulating savings plan;0.15%;2.46%;363;24.09.19;Accumulating;Full replication;IE00BK5BQZ41;A2PLTA
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Distributing savings plan;0.15%;2.18%;1,028;21.05.13;Distributing;Full replication;IE00B9F5YL18;A1T8FT
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C) savings plan;0.15%;0.85%;488;29.09.09;Accumulating;Swap basedUnfunded;FR0010790980;A0X9QJ
Amundi EURO STOXX 50 II UCITS ETF Acc savings plan;0.24%;-0.36%;2,871;19.02.01;Accumulating;Full replication;FR0007054358;798328
Amundi EURO STOXX 50 II UCITS ETF CHF Hedged Acc savings plan;0.20%;0.29%;34;19.05.15;Accumulating;Full replication;FR0012399731;LYX0VB
Amundi EURO STOXX 50 II UCITS ETF GBP Hedged Acc savings plan;0.20%;-0.23%;53;30.01.15;Accumulating;Full replication;FR0012399772;LYX0T9
Amundi EURO STOXX 50 II UCITS ETF USD Hedged Acc savings plan;0.20%;1.44%;67;07.01.15;Accumulating;Full replication;FR0012399806;LYX0R9
Amundi EURO STOXX 50 UCITS ETF DR - EUR (D) savings plan;0.09%;0.14%;615;29.06.10;Distributing;Full replication;LU1681047319;A2H59M
Amundi EURO STOXX 50 UCITS ETF DR USD (C) savings plan;0.09%;0.50%;15;15.10.15;Accumulating;Full replication;LU1681047400;A2H59N
Amundi EURO STOXX 50 UCITS ETF EUR (C) savings plan;0.09%;0.13%;2,240;16.09.08;Accumulating;Full replication;LU1681047236;A2H59L
Amundi Index ETF MSCI Europe UCITS ETF DR (C) savings plan;0.12%;1.07%;2,085;29.06.16;Accumulating;Full replication;LU1437015735;A2ATYJ
Amundi Index MSCI Europe UCITS ETF DR EUR (D) savings plan;0.12%;0.76%;307;19.12.17;Distributing;Full replication;LU1737652310;A2H9QZ
Amundi MSCI EMU UCITS ETF Acc savings plan;0.12%;0.00%;96;06.02.20;Accumulating;Full replication;LU1646361276;LYX0ZY
Amundi MSCI EMU UCITS ETF Dist savings plan;0.12%;0.23%;308;06.08.03;Distributing;Full replication;LU1646360971;LYX0XB
